iter	Passed	Remaining
177	405	1870
178	406	1866
179	411	1874
180	414	1877
181	417	1876
182	419	1873
183	421	1869
184	424	1870
185	427	1868
186	430	1871
187	432	1867
188	434	1863
189	436	1859
190	438	1856
191	440	1854
192	442	1851
193	444	1847
194	446	1844
195	450	1846
196	452	1844
197	454	1841
198	456	1839
199	460	1843
200	462	1840
201	464	1835
202	467	1836
203	472	1842
204	475	1845
205	478	1843
206	480	1840
207	482	1837
208	487	1844
209	489	1840
210	491	1838
211	493	1835
212	496	1833
213	499	1833
214	502	1836
215	505	1834
216	507	1830
217	509	1826
218	511	1824
219	518	1837
220	520	1835
221	522	1832
222	525	1829
223	526	1825
224	530	1826
225	533	1827
226	535	1824
227	538	1823
228	540	1820
229	543	1818
230	545	1817
231	548	1816
232	550	1812
233	553	1810
234	555	1809
235	558	1808
236	561	1806
237	563	1804
238	565	1801
239	567	1797
240	570	1797
241	574	1798
242	577	1797
243	579	1797
244	582	1793
245	584	1790
246	586	1786
247	589	1787
248	592	1787
249	596	1789
250	599	1790
251	603	1792
252	607	1792
253	611	1795
254	614	1795
255	617	1795
256	621	1795
257	624	1796
258	627	1794
259	629	1792
260	635	1798
261	638	1797
262	641	1797
263	645	1799
264	648	1798
265	652	1801
266	655	1800
267	657	1796
268	660	1794
269	666	1800
270	670	1802
271	672	1799
272	675	1798
273	678	1797
274	681	1795
275	683	1792
276	685	1789
277	688	1789
278	697	1801
279	699	1799
280	702	1798
281	705	1795
282	709	1796
283	711	1794
284	714	1793
285	718	1792
286	720	1789
287	724	1791
288	728	1791
289	731	1789
290	733	1786
291	735	1783
292	748	1806
293	753	1809
294	756	1808
295	760	1807
296	766	1813
297	772	1819
298	779	1827
299	782	1825
300	785	1823
301	787	1820
302	790	1818
303	792	1815
304	796	1813
305	800	1815
306	803	1812
307	805	1809
308	808	1807
309	811	1805
310	813	1803
311	816	1800
312	824	1809
313	831	1817
314	835	1816
315	837	1813
316	840	1811
317	847	1816
318	850	1815
319	853	1814
320	855	1810
321	859	1809
322	862	1808
323	865	1805
324	867	1802
325	870	1800
326	874	1800
327	877	1797
328	879	1793
329	881	1789
330	884	1787
331	887	1785
332	889	1782
333	892	1779
334	894	1775
335	896	1772
336	899	1769
337	901	1765
338	904	1763
339	906	1759
340	908	1755
341	910	1751
342	912	1747
343	914	1744
344	917	1742
345	920	1739
346	922	1735
347	924	1731
348	925	1727
349	927	1722
350	929	1719
351	932	1716
352	935	1714
353	937	1711
354	940	1708
355	942	1704
356	944	1701
357	950	1704
358	952	1700
359	955	1698
360	957	1694
361	960	1692
362	965	1693
363	967	1690
364	969	1686
365	971	1682
366	973	1679
367	978	1680
368	982	1680
369	984	1676
370	986	1672
371	988	1669
372	991	1666
373	996	1667
374	998	1664
375	1000	1661
376	1003	1657
377	1005	1654
378	1008	1652
379	1010	1649
380	1013	1646
381	1015	1642
382	1017	1639
383	1020	1636
384	1023	1634
385	1025	1631
386	1027	1627
387	1029	1624
388	1032	1621
389	1034	1617
390	1037	1615
391	1040	1613
392	1042	1609
393	1044	1606
394	1046	1603
395	1049	1600
396	1051	1597
397	1055	1596
398	1058	1594
399	1062	1593
400	1065	1590
401	1069	1591
402	1072	1589
403	1075	1586
404	1077	1582
405	1079	1580
406	1083	1578
407	1085	1575
408	1087	1571
409	1089	1568
410	1092	1565
411	1097	1566
412	1102	1566
413	1104	1563
414	1108	1562
415	1110	1558
416	1114	1557
417	1116	1554
418	1118	1550
419	1122	1549
420	1125	1547
421	1129	1547
422	1132	1544
423	1134	1541
424	1139	1541
425	1142	1538
426	1145	1536
427	1147	1534
428	1150	1531
429	1153	1528
430	1155	1525
431	1159	1524
432	1162	1522
433	1165	1519
434	1167	1516
435	1170	1513
436	1175	1513
437	1178	1512
438	1181	1509
439	1189	1514
440	1192	1511
441	1194	1508
442	1197	1505
443	1204	1508
444	1208	1507
445	1211	1504
446	1213	1501
447	1216	1498
448	1219	1496
449	1223	1494
450	1226	1492
451	1228	1489
452	1233	1489
453	1236	1487
454	1241	1486
455	1244	1484
456	1247	1482
457	1251	1481
458	1254	1478
459	1257	1475
460	1260	1473
461	1263	1471
462	1266	1469
463	1269	1466
464	1272	1463
465	1275	1461
466	1279	1460
467	1282	1457
468	1285	1454
469	1288	1452
470	1291	1450
471	1294	1447
472	1297	1445
473	1299	1442
474	1302	1439
475	1306	1437
476	1309	1436
477	1313	1434
478	1316	1432
479	1319	1429
480	1323	1427
481	1326	1425
482	1329	1423
483	1332	1420
484	1336	1418
485	1339	1416
486	1342	1414
487	1345	1411
488	1351	1412
489	1355	1410
490	1360	1410
491	1370	1414
492	1374	1413
493	1384	1417
494	1391	1419
495	1410	1433
496	1417	1434
497	1421	1432
498	1429	1435
499	1434	1434
500	1444	1438
501	1449	1437
502	1453	1436
503	1456	1433
504	1459	1430
505	1461	1427
506	1464	1423
507	1467	1421
508	1474	1422
509	1477	1419
510	1480	1416
511	1483	1413
512	1489	1413
513	1493	1411
514	1499	1412
515	1502	1409
516	1506	1407
517	1510	1405
518	1516	1405
519	1518	1401
520	1522	1400
521	1526	1397
522	1535	1400
523	1540	1398
524	1544	1397
525	1547	1394
526	1551	1392
527	1554	1389
528	1563	1391
529	1569	1392
530	1572	1388
531	1576	1386
532	1579	1383
533	1581	1380
534	1584	1377
535	1588	1374
536	1593	1374
537	1596	1371
538	1599	1367
539	1602	1365
540	1606	1362
541	1610	1361
542	1614	1358
543	1616	1355
544	1619	1351
545	1624	1350
546	1627	1348
547	1630	1344
548	1634	1342
549	1639	1341
550	1641	1337
551	1643	1334
552	1646	1330
553	1649	1328
554	1652	1324
555	1654	1321
556	1657	1318
557	1660	1315
558	1664	1313
559	1668	1310
560	1670	1307
561	1672	1303
562	1675	1300
563	1678	1297
564	1680	1294
565	1687	1294
566	1689	1290
567	1692	1286
568	1695	1284
569	1698	1281
570	1701	1278
571	1703	1274
572	1705	1270
573	1708	1268
574	1713	1266
575	1715	1262
576	1717	1259
577	1719	1255
578	1723	1253
579	1726	1250
580	1728	1246
581	1731	1243
582	1732	1239
583	1734	1235
584	1737	1232
585	1740	1229
586	1742	1226
587	1744	1222
588	1746	1218
589	1750	1216
590	1756	1215
591	1758	1211
592	1760	1208
593	1763	1205
594	1765	1201
595	1771	1200
596	1774	1197
597	1787	1201
598	1804	1207
599	1806	1204
600	1809	1201
601	1813	1198
602	1818	1197
603	1820	1193
604	1822	1190
605	1825	1186
606	1828	1183
607	1831	1181
608	1834	1177
609	1837	1174
610	1839	1171
611	1842	1168
612	1846	1165
613	1849	1162
614	1851	1158
615	1853	1155
616	1856	1152
617	1858	1148
618	1862	1146
619	1864	1142
620	1867	1139
621	1870	1136
622	1872	1133
623	1876	1130
624	1878	1127
625	1880	1123
626	1884	1120
627	1886	1117
628	1890	1114
629	1892	1111
630	1895	1108
631	1898	1105
632	1900	1102
633	1903	1098
634	1907	1096
635	1910	1093
636	1912	1089
637	1914	1086
638	1917	1083
639	1923	1081
640	1925	1078
641	1930	1076
642	1933	1073
643	1938	1071
644	1940	1068
645	1943	1065
646	1945	1061
647	1948	1058
648	1951	1055
649	1954	1052
650	1956	1048
651	1958	1045
652	1960	1042
653	1963	1038
654	1966	1035
655	1968	1032
656	1970	1028
657	1972	1025
658	1974	1021
659	1976	1018
660	1979	1015
661	1981	1011
662	1983	1008
663	1986	1005
664	1988	1001
665	1990	998
666	1992	994
667	1995	991
668	1997	988
669	1999	984
670	2001	981
671	2003	977
672	2005	974
673	2007	970
674	2011	968
675	2013	965
676	2016	961
677	2018	958
678	2021	955
679	2024	952
680	2028	950
681	2030	946
682	2033	943
683	2036	940
684	2040	938
685	2042	934
686	2044	931
687	2047	928
688	2049	925
689	2052	922
690	2055	919
691	2058	916
692	2060	912
693	2062	909
694	2065	906
695	2069	903
696	2071	900
697	2074	897
698	2076	894
699	2078	890
700	2081	887
701	2085	885
702	2088	882
703	2090	878
704	2092	875
705	2095	872
706	2098	869
707	2100	866
708	2103	863
709	2105	860
710	2107	856
711	2110	853
712	2113	850
713	2116	847
714	2118	844
715	2121	841
716	2123	838
717	2125	834
718	2128	831
719	2131	828
720	2133	825
721	2136	822
722	2138	819
723	2141	816
724	2143	813
725	2146	809
726	2148	806
727	2150	803
728	2152	800
729	2155	797
730	2157	793
731	2159	790
732	2162	787
733	2164	784
734	2166	781
735	2169	778
736	2171	774
737	2174	771
738	2177	768
739	2179	765
740	2181	762
741	2183	759
742	2186	756
743	2189	753
744	2192	750
745	2194	747
746	2196	743
747	2199	741
748	2203	738
749	2206	735
750	2208	732
751	2211	729
752	2213	726
753	2216	723
754	2219	720
755	2221	717
756	2224	713
757	2226	710
758	2229	707
759	2231	704
760	2235	702
761	2238	699
762	2240	695
763	2242	692
764	2245	689
765	2250	687
766	2252	684
767	2254	680
768	2256	677
769	2259	674
770	2261	671
771	2264	668
772	2266	665
773	2268	662
774	2271	659
775	2273	656
776	2275	653
777	2278	650
778	2280	646
779	2282	643
780	2284	640
781	2286	637
782	2288	634
783	2290	631
784	2294	628
785	2296	625
786	2298	622
787	2300	618
788	2303	616
789	2306	613
790	2309	610
791	2311	606
792	2312	603
793	2314	600
794	2316	597
795	2318	594
796	2320	590
797	2324	588
798	2326	585
799	2328	582
800	2330	578
801	2332	575
802	2333	572
803	2335	569
804	2337	566
805	2339	563
806	2341	560
807	2343	556
808	2344	553
809	2346	550
810	2348	547
811	2350	544
812	2352	541
813	2354	537
814	2356	534
815	2358	531
816	2359	528
817	2361	525
818	2363	522
819	2365	519
820	2367	516
821	2369	513
822	2370	509
823	2372	506
824	2374	503
825	2376	500
826	2378	497
827	2381	494
828	2383	491
829	2385	488
830	2386	485
831	2388	482
832	2390	479
833	2392	476
834	2394	473
835	2396	470
836	2398	467
837	2399	463
838	2401	460
839	2402	457
840	2404	454
841	2406	451
842	2408	448
843	2409	445
844	2411	442
845	2413	439
846	2415	436
847	2416	433
848	2417	430
849	2419	427
850	2421	423
851	2423	420
852	2424	417
853	2426	414
854	2428	411
855	2430	408
856	2431	405
857	2433	402
858	2434	399
859	2436	396
860	2438	393
861	2439	390
862	2441	387
863	2443	384
864	2444	381
865	2445	378
866	2447	375
867	2448	372
868	2450	369
869	2452	366
870	2454	363
871	2456	360
872	2458	357
873	2459	354
874	2461	351
875	2463	348
876	2464	345
877	2466	342
878	2468	339
879	2470	336
880	2472	333
881	2473	330
882	2475	328
883	2476	325
884	2478	322
885	2479	319
886	2481	316
887	2483	313
888	2485	310
889	2486	307
890	2488	304
891	2489	301
892	2491	298
893	2493	295
894	2495	292
895	2496	289
896	2498	286
897	2500	283
898	2501	281
899	2503	278
900	2505	275
901	2506	272
902	2508	269
903	2510	266
904	2511	263
905	2513	260
906	2515	257
907	2517	255
908	2519	252
909	2520	249
910	2522	246
911	2523	243
912	2525	240
913	2527	237
914	2529	234
915	2531	232
916	2533	229
917	2534	226
918	2536	223
919	2538	220
920	2539	217
921	2542	215
922	2543	212
923	2545	209
924	2547	206
925	2549	203
926	2550	200
927	2552	198
928	2554	195
929	2556	192
930	2557	189
931	2560	186
932	2562	183
933	2563	181
934	2564	178
935	2566	175
936	2568	172
937	2569	169
938	2571	167
939	2572	164
940	2575	161
941	2577	158
942	2579	155
943	2580	153
944	2582	150
945	2584	147
946	2585	144
947	2586	141
948	2588	139
949	2591	136
950	2592	133
951	2594	130
952	2596	128
953	2597	125
954	2599	122
955	2601	119
956	2602	116
957	2604	114
958	2607	111
959	2608	108
960	2610	105
961	2611	103
962	2613	100
963	2614	97
964	2616	94
965	2617	92
966	2619	89
967	2621	86
968	2622	83
969	2624	81
970	2625	78
971	2627	75
972	2628	72
973	2630	70
974	2632	67
975	2633	64
976	2636	62
977	2637	59
978	2639	56
979	2641	53
980	2642	51
981	2644	48
982	2646	45
983	2647	43
984	2649	40
985	2651	37
986	2653	34
987	2655	32
988	2656	29
989	2658	26
990	2660	24
991	2661	21
992	2665	18
993	2667	16
994	2668	13
995	2670	10
996	2671	8
997	2673	5
998	2674	2
999	2676	0
